Country,Amount,Date
China,"143,950,000.00",2005
India,"81,500,000.00",2005
United States,"49,980,000.00",2005
Japan,"33,660,000.00",2005
Russia,"24,700,000.00",2005
Germany,"21,030,000.00",2005
Indonesia,"16,740,000.00",2005
Brazil,"16,570,000.00",2005
Italy,"14,780,000.00",2005
France,"12,820,000.00",2005
United Kingdom,"12,750,000.00",2005
Pakistan,"9,940,000.00",2005
Ukraine,"9,530,000.00",2005
Spain,"9,370,000.00",2005
Bangladesh,"9,370,000.00",2005
Mexico,"8,660,000.00",2005
Vietnam,"7,310,000.00",2005
Thailand,"7,210,000.00",2005
Poland,"6,550,000.00",2005
Nigeria,"6,410,000.00",2005
Turkey,"6,330,000.00",2005
South Korea,"6,250,000.00",2005
Canada,"5,760,000.00",2005
Egypt,"5,760,000.00",2005
Argentina,"5,400,000.00",2005
Iran,"4,790,000.00",2005
Philippines,"4,630,000.00",2005
Romania,"4,220,000.00",2005
Ethiopia,"3,700,000.00",2005
Burma,"3,640,000.00",2005
Australia,"3,600,000.00",2005
South Africa,"3,360,000.00",2005
Colombia,"3,220,000.00",2005
Netherlands,"3,110,000.00",2005
North Korea,"2,840,000.00",2005
Greece,"2,590,000.00",2005
Democratic Republic of the Congo,"2,450,000.00",2005
Portugal,"2,350,000.00",2005
Belgium,"2,320,000.00",2005
Peru,"2,180,000.00",2005
Algeria,"2,180,000.00",2005
Hungary,"2,170,000.00",2005
Sweden,"2,120,000.00",2005
Morocco,"2,110,000.00",2005
Sri Lanka,"2,080,000.00",2005
Czech Republic,"2,040,000.00",2005
Venezuela,"2,000,000.00",2005
Chile,"1,890,000.00",2005
Tanzania,"1,830,000.00",2005
Austria,"1,830,000.00",2005
Malaysia,"1,820,000.00",2005
Bulgaria,"1,790,000.00",2005
Serbia,"1,790,000.00",2005
Belarus,"1,790,000.00",2005
Nepal,"1,780,000.00",2005
Cuba,"1,720,000.00",2005
Uzbekistan,"1,620,000.00",2005
Switzerland,"1,580,000.00",2005
Kazakhstan,"1,510,000.00",2005
Sudan,"1,490,000.00",2005
Kenya,"1,420,000.00",2005
Iraq,"1,410,000.00",2005
Saudi Arabia,"1,150,000.00",2005
Denmark,"1,150,000.00",2005
Finland,"1,120,000.00",2005
Ghana,"1,120,000.00",2005
Uganda,"1,110,000.00",2005
Ecuador,"1,100,000.00",2005
Hong Kong,"1,060,000.00",2005
Mozambique,"1,040,000.00",2005
Croatia,"960,179.00",2005
Tunisia,"934,356.00",2005
Cameroon,"916,152.00",2005
Norway,"912,262.00",2005
Syria,"911,105.00",2005
Israel,"875,029.00",2005
Slovakia,"869,816.00",2005
Yemen,"855,827.00",2005
Cambodia,"848,690.00",2005
Afghanistan,"845,481.00",2005
Georgia,"817,018.00",2005
Madagascar,"806,554.00",2005
Guatemala,"776,767.00",2005
Dominican Republic,"739,738.00",2005
Azerbaijan,"719,141.00",2005
Bosnia and Herzegovina,"714,188.00",2005
Zimbabwe,"694,973.00",2005
New Zealand,"677,842.00",2005
Lithuania,"663,666.00",2005
Angola,"647,003.00",2005
Ireland,"634,571.00",2005
Puerto Rico,"630,488.00",2005
Malawi,"614,935.00",2005
Bolivia,"614,223.00",2005
Uruguay,"594,168.00",2005
Haiti,"587,547.00",2005
Mali,"576,853.00",2005
Moldova,"566,664.00",2005
Singapore,"565,386.00",2005
Niger,"559,640.00",2005
Senegal,"548,903.00",2005
Burkina Faso,"547,520.00",2005
El Salvador,"533,785.00",2005
Latvia,"507,827.00",2005
Guinea,"492,106.00",2005
Zambia,"474,214.00",2005
Lebanon,"427,996.00",2005
Armenia,"426,998.00",2005
South Sudan,"417,085.00",2005
Slovenia,"416,504.00",2005
Chad,"412,293.00",2005
Paraguay,"412,221.00",2005
Honduras,"403,867.00",2005
Albania,"395,040.00",2005
Somalia,"382,616.00",2005
Benin,"374,345.00",2005
Costa Rica,"361,944.00",2005
Libya,"355,428.00",2005
Kyrgyzstan,"351,992.00",2005
Rwanda,"339,700.00",2005
Tajikistan,"338,660.00",2005
Nicaragua,"324,309.00",2005
Laos,"322,416.00",2005
Republic of Macedonia,"317,505.00",2005
Burundi,"315,813.00",2005
Panama,"294,872.00",2005
Estonia,"290,949.00",2005
Turkmenistan,"287,230.00",2005
Jamaica,"277,161.00",2005
Jordan,"267,296.00",2005
Papua New Guinea,"265,239.00",2005
Togo,"248,467.00",2005
Central African Republic,"236,814.00",2005
Sierra Leone,"221,220.00",2005
Eritrea,"165,993.00",2005
Liberia,"160,319.00",2005
Cyprus,"153,481.00",2005
Mauritania,"153,115.00",2005
Palestine,"143,237.00",2005
Mongolia,"142,254.00",2005
Trinidad and Tobago,"140,550.00",2005
Lesotho,"123,298.00",2005
Mauritius,"117,816.00",2005
Gabon,"109,681.00",2005
Namibia,"102,435.00",2005
Montenegro,"101,685.00",2005
Oman,"99,216.00",2005
Kuwait,"95,455.00",2005
Botswana,"93,071.00",2005
Luxembourg,"87,015.00",2005
Malta,"73,491.00",2005
Martinique,"71,225.00",2005
Guadeloupe,"68,423.00",2005
Guinea-Bissau,"67,543.00",2005
Gambia,"57,572.00",2005
United Arab Emirates,"57,218.00",2005
Fiji,"56,661.00",2005
Swaziland,"54,018.00",2005
Macau,"48,794.00",2005
Iceland,"46,895.00",2005
East Timor,"45,349.00",2005
Suriname,"43,947.00",2005
Guyana,"43,276.00",2005
Djibouti,"41,039.00",2005
Bhutan,"39,871.00",2005
Barbados,"39,343.00",2005
Cape Verde,"34,548.00",2005
Federated States of Micronesia,"32,836.00",2005
Channel Islands,"31,557.00",2005
The Bahamas,"31,054.00",2005
Bahrain,"29,897.00",2005
Equatorial Guinea,"28,293.00",2005
Comoros,"27,822.00",2005
New Caledonia,"24,121.00",2005
Solomon Islands,"22,720.00",2005
Qatar,"21,625.00",2005
French Polynesia,"20,345.00",2005
Maldives,"20,076.00",2005
Virgin Islands,"17,834.00",2005
Brunei,"17,636.00",2005
Saint Lucia,"16,018.00",2005
Western Sahara,"15,744.00",2005
Belize,"15,408.00",2005
Guam,"14,634.00",2005
Aruba,"12,615.00",2005
Samoa,"12,487.00",2005
French Guiana,"12,056.00",2005
Vanuatu,"10,861.00",2005
Saint Vincent and the Grenadines,"10,274.00",2005
Grenada,"10,220.00",2005
Mayotte,"8,688.00",2005
Seychelles,"8,584.00",2005
