Country,Amount,Date
China,"242,430,000.00",2020
India,"133,620,000.00",2020
United States,"77,150,000.00",2020
Japan,"43,220,000.00",2020
Russia,"30,350,000.00",2020
Brazil,"29,480,000.00",2020
Indonesia,"27,330,000.00",2020
Germany,"24,700,000.00",2020
Italy,"17,970,000.00",2020
France,"17,490,000.00",2020
United Kingdom,"16,200,000.00",2020
Mexico,"15,490,000.00",2020
Pakistan,"14,700,000.00",2020
Bangladesh,"13,660,000.00",2020
Thailand,"13,120,000.00",2020
Vietnam,"12,410,000.00",2020
Spain,"12,260,000.00",2020
South Korea,"11,510,000.00",2020
Turkey,"10,620,000.00",2020
Ukraine,"9,990,000.00",2020
Poland,"9,640,000.00",2020
Nigeria,"9,370,000.00",2020
Canada,"9,320,000.00",2020
Egypt,"8,800,000.00",2020
Iran,"8,590,000.00",2020
Philippines,"8,590,000.00",2020
Argentina,"7,170,000.00",2020
Colombia,"6,310,000.00",2020
Ethiopia,"6,050,000.00",2020
Burma,"5,900,000.00",2020
Australia,"5,590,000.00",2020
South Africa,"5,340,000.00",2020
Romania,"4,990,000.00",2020
Netherlands,"4,550,000.00",2020
Venezuela,"3,830,000.00",2020
Algeria,"3,830,000.00",2020
North Korea,"3,790,000.00",2020
Democratic Republic of the Congo,"3,680,000.00",2020
Peru,"3,660,000.00",2020
Morocco,"3,630,000.00",2020
Malaysia,"3,520,000.00",2020
Sri Lanka,"3,470,000.00",2020
Chile,"3,320,000.00",2020
Greece,"3,110,000.00",2020
Belgium,"3,000,000.00",2020
Tanzania,"3,000,000.00",2020
Portugal,"2,920,000.00",2020
Czech Republic,"2,770,000.00",2020
Nepal,"2,690,000.00",2020
Uzbekistan,"2,680,000.00",2020
Sweden,"2,640,000.00",2020
Kenya,"2,580,000.00",2020
Hungary,"2,530,000.00",2020
Cuba,"2,460,000.00",2020
Sudan,"2,420,000.00",2020
Austria,"2,280,000.00",2020
Saudi Arabia,"2,250,000.00",2020
Serbia,"2,200,000.00",2020
Switzerland,"2,170,000.00",2020
Iraq,"2,110,000.00",2020
Kazakhstan,"2,090,000.00",2020
Ecuador,"1,990,000.00",2020
Belarus,"1,990,000.00",2020
Hong Kong,"1,970,000.00",2020
Syria,"1,920,000.00",2020
Bulgaria,"1,900,000.00",2020
Uganda,"1,730,000.00",2020
Ghana,"1,670,000.00",2020
